,movie_id,title,tags
0,19995,Avatar,"action adventur fantasi sciencefict samworthington jakesulli zoesaldana neytiri sigourneyweav dr.graceaugustin jamescameron in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d"
1,285,Pirates of the Caribbean: At World's End,"adventur fantasi action johnnydepp captainjacksparrow orlandobloom willturn keiraknightley elizabethswann goreverbinski captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems. ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting"
2,206647,Spectre,"action adventur crime danielcraig jamesbond christophwaltz blofeld léaseydoux madelein sammend a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre. spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom"
3,49026,The Dark Knight Rises,"action crime drama thriller christianbal brucewayne/batman michaelcain alfredpennyworth garyoldman jamesgordon christophernolan follow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy. dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman"
4,49529,John Carter,"action adventur sciencefict taylorkitsch johncart lynncollin dejahthori samanthamorton sola andrewstanton john carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands. basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d"
5,559,Spider-Man 3,"fantasi action adventur tobeymaguir peterparker/spider-man kirstendunst maryjanewatson jamesfranco harryosborn/newgoblin samraimi the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle. dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng"
6,38757,Tangled,"anim famili zacharylevi flynnrider(voice) mandymoor rapunzel(voice) donnamurphi mothergothel(voice) byronhoward nathangreno when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs. hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick"
7,99861,Avengers: Age of Ultron,"action adventur sciencefict robertdowneyjr. tonystark/ironman chrishemsworth thorodinson markruffalo brucebanner/hulk josswhedon when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure. marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d"
8,767,Harry Potter and the Half-Blood Prince,"adventur fantasi famili danielradcliff harrypott rupertgrint ronweasley emmawatson hermionegrang davidy as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past. witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf"
9,209112,Batman v Superman: Dawn of Justice,"action adventur fantasi benaffleck brucewayne/batman henrycavil clarkkent/superman galgadot dianaprince/wonderwoman zacksnyd fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers"
10,1452,Superman Returns,"adventur fantasi action sciencefict brandonrouth superman/clarkk kevinspacey lexluthor katebosworth loislan bryansing superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel. savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor"
11,10764,Quantum of Solace,"adventur action thriller crime danielcraig jamesbond olgakurylenko camillemont mathieuamalr dominicgreen marcforst quantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined. kill undercov secretag britishsecretservic"
12,58,Pirates of the Caribbean: Dead Man's Chest,"adventur fantasi action johnnydepp captainjacksparrow orlandobloom willturn keiraknightley elizabethswann goreverbinski captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting"
13,57201,The Lone Ranger,"action adventur western johnnydepp tonto armiehamm johnreid/thelonerang williamfichtn butchcavendish goreverbinski the texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nurs him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice. texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto"
14,49521,Man of Steel,"action adventur fantasi sciencefict henrycavil clarkkent/kal-el amyadam loislan michaelshannon generalzod zacksnyd a young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind. savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers"
15,2454,The Chronicles of Narnia: Prince Caspian,"adventur famili fantasi benbarn princecaspian williammoseley peterpevensi annapopplewel susanpevensi andrewadamson one year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir. basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld"
16,24428,The Avengers,"sciencefict action adventur robertdowneyjr. tonystark/ironman chrisevan steverogers/captainamerica markruffalo brucebanner/thehulk josswhedon when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers"
17,1865,Pirates of the Caribbean: On Stranger Tides,"adventur action fantasi johnnydepp captainjacksparrow penélopecruz angelicateach ianmcshan captainedward""blackbeard""teach robmarshal captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past. sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d"
18,41154,Men in Black 3,"action comedi sciencefict willsmith agentj tommyleejon agentk joshbrolin youngagentk barrysonnenfeld agent j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexplic thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univers that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind. timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori"
19,122917,The Hobbit: The Battle of the Five Armies,"action adventur fantasi martinfreeman bilbobaggin ianmckellen gandalf richardarmitag thorinoakenshield peterjackson immedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands. corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri"
20,1930,The Amazing Spider-Man,"action adventur fantasi andrewgarfield peterparker/spider-man emmaston gwenstaci rhysifan dr.curtconnors/thelizard marcwebb peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting"
21,20662,Robin Hood,"action adventur russellcrow robinlongstrid cateblanchett marionloxley maxvonsydow sirwalterloxley ridleyscott when soldier robin happen upon the die robert of loxley, he promis to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey. robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland"
22,57158,The Hobbit: The Desolation of Smaug,"adventur fantasi martinfreeman bilbobaggin ianmckellen gandalf richardarmitag thorinoakenshield peterjackson the dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug. elv dwarv orc hobbit dragon wizard swordandsorceri"
23,2268,The Golden Compass,"adventur fantasi dakotabluerichard lyrabelacqua nicolekidman marisacoult danielcraig lordasriel chrisweitz after overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny. england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel"
24,254,King Kong,"adventur drama action naomiwatt anndarrow jackblack carldenham adrienbrodi jackdriscol peterjackson in 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady. filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur"
25,597,Titanic,"drama romanc thriller katewinslet rosedewittbukat leonardodicaprio jackdawson francesfish ruthdewittbukat jamescameron 84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning. shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910"
26,271110,Captain America: Civil War,"adventur action sciencefict chrisevan steverogers/captainamerica robertdowneyjr. tonystark/ironman scarlettjohansson natasharomanoff/blackwidow anthonyrusso joerusso follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies. civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d"
27,44833,Battleship,"thriller action adventur sciencefict taylorkitsch lieutenantalexhopp alexanderskarsgård commanderstonehopp rihanna pettyofficercora'weps'raik peterberg when mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him. fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri"
28,135397,Jurassic World,"action adventur sciencefict thriller chrispratt owengradi brycedallashoward clairedear irrfankhan simonmasrani colintrevorrow twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond. monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror"
29,37724,Skyfall,"action adventur thriller danielcraig jamesbond judidench m javierbardem silva sammend when bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event caus her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromis from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves. spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao"
30,558,Spider-Man 2,"action adventur fantasi tobeymaguir peterparker/spider-man kirstendunst maryjanewatson jamesfranco harryosborn samraimi peter parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood. dualident loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain"
31,68721,Iron Man 3,"action adventur sciencefict robertdowneyjr. tonystark/ironman gwynethpaltrow virginia""pepper""pott doncheadl coloneljames""rhodey""rhod shaneblack when toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution. terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi"
32,12155,Alice in Wonderland,"famili fantasi adventur miawasikowska alicekingsleigh johnnydepp themadhatt annehathaway thewhitequeen timburton alice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne. basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d"
33,36668,X-Men: The Last Stand,"adventur action sciencefict thriller hughjackman logan/wolverin halleberri ororomunroe/storm ianmckellen ericlehnsherr/magneto brettratn when a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto. mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting"
34,62211,Monsters University,"anim famili billycryst michael""mike""wazowski(voice) johngoodman jamesp.""sulley""sullivan(voice) stevebuscemi randallboggs(voice) danscanlon a look at the relationship between mike and sulley dure their day at monster univers — when they weren't necessarili the best of friends. monster dormitori game anim bestfriend univers scari aftercreditssting"
